====================
post_office  |  Shin-Matsudo Post Office
school  |  川崎市立京町小学校
school  |  横浜市立今宿南小学校
school  |  市立今宿小学校
school  |  横浜市立仏向小学校
school  |  市立伊勢原中学校
school  |  市立伊勢原小学校
school  |  横浜市立伊勢山小学校
school  |  市立作の口小学校
school  |  市立依知中学校
school  |  市立依知南小学校
school  |  横浜市立保土ヶ谷中学校
school  |  横浜市立保土ヶ谷小学校
school  |  横浜市立俣野小学校
school  |  横浜市立元石川小学校
school  |  市立光が丘小学校
school  |  市立入谷小学校
school  |  市立八幡小学校
school  |  横浜市立六角橋中学校
school  |  市立共和中学校
school  |  市立共和小学校
school  |  市立内出中学校
school  |  市立内郷小学校
school  |  市立前羽小学校
school  |  市立勝原小学校
school  |  横浜市立勝田小学校
school  |  市立北の台中学校
school  |  市立北の台小学校
school  |  市立北中学校
school  |  市立北大和小学校
school  |  市立北小学校
school  |  市立北足柄中学校
school  |  横浜市立十日市場中学校
school  |  横浜市立十日市場小学校
school  |  市立千代ヶ丘小学校
school  |  市立千代中学校
school  |  市立千代小学校
school  |  市立千木良小学校
school  |  横浜市立千秀小学校
school  |  市立南が丘中学校
school  |  市立南が丘小学校
school  |  市立南下浦中学校
school  |  市立南下浦小学校
school  |  市立南中学校
school  |  市立南中学校
school  |  市立南原小学校
school  |  市立南原小学校
school  |  市立南大野小学校
school  |  市立南小学校
school  |  横浜市立南希望が丘中学校
school  |  横浜市立南戸塚中学校
school  |  横浜市立南本宿小学校
school  |  市立南毛利中学校
school  |  市立南河原中学校
school  |  横浜市立南瀬谷中学校
school  |  横浜市立南瀬谷小学校
school  |  市立南生田中学校
school  |  市立南生田小学校
school  |  市立南百合丘小学校
school  |  横浜市立南神大寺小学校
school  |  市立南菅小学校
school  |  市立南足柄中学校
school  |  市立南足柄小学校
school  |  川崎市立南野川小学校
school  |  横浜市立原中学校
school  |  横浜市立原小学校
school  |  市立双葉小学校
school  |  市立吉沢小学校
school  |  横浜市立名瀬小学校
school  |  市立向丘中学校
school  |  市立向丘小学校
school  |  市立向小学校
school  |  市立向田小学校
school  |  横浜市立和泉小学校
school  |  横浜市立善部小学校
school  |  市立国府津中学校
school  |  市立国府津小学校
school  |  市立土屋小学校
school  |  市立土橋小学校
school  |  市立土沢中学校
school  |  横浜市立坂本小学校
school  |  市立城北中学校
school  |  市立城南中学校
school  |  市立城山中学校
school  |  市立城山中学校
school  |  市立城島小学校
school  |  横浜市立城郷小学校
school  |  市立堀川小学校
school  |  市立報徳小学校
school  |  横浜市立境木中学校
school  |  横浜市立境木小学校
school  |  市立夢の丘小学校
school  |  市立夢見ヶ崎小学校
school  |  市立大住中学校
school  |  市立大原小学校
school  |  市立大山小学校
school  |  市立大島小学校
school  |  市立大師中学校
school  |  横浜市立大曽根小学校
school  |  市立大根中学校
school  |  市立大根小学校
school  |  横浜市立大正中学校
school  |  横浜市立大正小学校
school  |  横浜市立四季の森小学校
school  |  市立大沢中学校
school  |  市立大沢小学校
school  |  市立大沼小学校
school  |  市立大田小学校
school  |  市立大窪小学校
school  |  横浜市立大綱中学校
school  |  横浜市立大綱小学校
school  |  市立大船小学校
school  |  横浜市立大豆戸小学校
school  |  市立大野中学校
school  |  市立大野北中学校
school  |  市立大野北小学校
school  |  市立大野南中学校
school  |  市立大野原小学校
school  |  市立大野台中央小学校
school  |  市立大野台中学校
school  |  市立大野台小学校
school  |  市立大野小学校
school  |  市立大野小学校
school  |  市立大鋸小学校
school  |  市立大鳥小学校
school  |  市立天台小学校
school  |  横浜市立太尾小学校
school  |  横浜市立奈良の丘小学校
school  |  横浜市立奈良中学校
school  |  横浜市立子安小学校
school  |  市立宮上小学校
school  |  市立宮前小学校
school  |  市立宮崎中学校
school  |  市立宮崎台小学校
school  |  川崎市立宮崎小学校
school  |  横浜市立宮田中学校
school  |  横浜市立宮谷小学校
school  |  市立宿河原小学校
school  |  市立富士塚小学校
school  |  市立富士見中学校
school  |  川崎市立富士見台小学校
school  |  市立富士見小学校
school  |  市立富士見小学校
school  |  市立富士見小学校
school  |  市立富水小学校
school  |  横浜市立寛政中学校
school  |  市立寺尾小学校
school  |  市立小倉小学校
school  |  市立小出小学校
school  |  市立小坂小学校
school  |  市立小坪小学校
school  |  横浜市立小机小学校
school  |  横浜市立小菅ヶ谷小学校
school  |  横浜市立小雀小学校
school  |  市立小鮎中学校
school  |  市立小鮎小学校
school  |  横浜市立山下みどり台小学校
school  |  市立山下小学校
school  |  横浜市立山下小学校
school  |  横浜市立山内中学校
school  |  市立山城中学校
school  |  市立山崎小学校
school  |  市立山王中学校
school  |  市立山王小学校
school  |  横浜市立山田小学校
school  |  市立岡崎小学校
school  |  市立岡本中学校
school  |  市立岡本小学校
school  |  横浜市立岡野中学校
school  |  市立岩原小学校
school  |  横浜市立岩崎小学校
school  |  市立崇善小学校
school  |  市立川上北小学校
school  |  横浜市立川井小学校
school  |  横浜市立川島小学校
school  |  市立川崎中学校
school  |  市立川崎小学校
hospital  |  市立川崎病院
school  |  横浜市立市ヶ尾小学校
school  |  横浜市立市場中学校
school  |  横浜市立市場小学校
school  |  横浜市立希望が丘小学校
school  |  横浜市立帷子小学校
school  |  横浜市立常盤台小学校
school  |  市立平中学校
school  |  横浜市立平安小学校
school  |  市立平小学校
school  |  横浜市立平沼小学校
school  |  市立幸町小学校
school  |  市立座間中学校
school  |  市立引地台小学校
school  |  市立弥栄中学校
school  |  市立弥栄小学校
school  |  市立当麻田小学校
school  |  市立成瀬中学校
school  |  市立成瀬小学校
school  |  市立戸室小学校 Tomuro Elementary School
school  |  市立戸田小学校
school  |  市立手広中学校
school  |  横浜市立折本小学校
school  |  市立文ヶ岡小学校
school  |  横浜市立斎藤分小学校
school  |  横浜市立新井中学校
school  |  横浜市立新井小学校
school  |  市立新作小学校
school  |  市立新吉田小学校
school  |  横浜市立新橋小学校
school  |  市立新町中学校
school  |  市立新町小学校
school  |  市立新磯小学校
school  |  横浜市立新羽中学校
school  |  横浜市立新羽小学校
school  |  横浜市立新鶴見小学校
school  |  横浜市立日吉南小学校
school  |  横浜市立日吉台中学校
school  |  横浜市立日吉台小学校
school  |  市立日吉小学校
school  |  神奈川県立横浜ひなたやま支援学校
school  |  市立早園小学校
school  |  市立早川小学校
school  |  横浜市立旭中学校
school  |  横浜市立旭北中学校
school  |  市立旭小学校
school  |  市立旭小学校
school  |  市立旭小学校
school  |  横浜市立旭小学校
school  |  市立旭小学校
school  |  市立旭町小学校
school  |  市立旭陵中学校
school  |  市立星が丘小学校
school  |  市立春日台中学校
school  |  市立春日野中学校
school  |  小田原市立曽我小学校
school  |  川崎市立有馬小学校
school  |  市立望洋小学校
school  |  川崎市立木月小学校
school  |  横浜市立末吉小学校
school  |  市立末広小学校
school  |  市立本町中学校
school  |  市立本町小学校
school  |  市立東中学校
school  |  横浜市立東俣野小学校
school  |  横浜市立東台小学校
school  |  市立東名中学校
school  |  市立東大島小学校
school  |  市立東小学校
school  |  横浜市立東山田中学校
school  |  横浜市立東本郷小学校
school  |  市立東林中学校
school  |  市立東林小学校
school  |  市立東柏ヶ谷小学校
school  |  市立東柿生小学校
school  |  市立東橘中学校
school  |  市立東生田小学校
school  |  市立東菅小学校
school  |  横浜市立東鴨居中学校
school  |  市立松が丘小学校
school  |  市立松原小学校
school  |  市立松延小学校
school  |  横浜市立松本中学校
school  |  市立松林中学校
school  |  市立林中学校
school  |  市立枡形中学校
school  |  海老名市立 柏ヶ谷小学校
school  |  市立柳島小学校
school  |  市立栗原小学校
school  |  横浜市立栗田谷中学校
school  |  市立根小屋小学校
school  |  市立桜丘小学校
school  |  市立桜井小学校
school  |  市立桜台小学校
school  |  市立梶ヶ谷小学校
school  |  横浜市立森の台小学校
school  |  市立森の里中学校
school  |  市立森の里小学校
school  |  市立横内中学校
school  |  市立横内小学校
school  |  横浜市立樽町中学校
school  |  市立橘中学校
school  |  市立橘中学校
school  |  市立武山中学校
school  |  市立武山小学校
school  |  市立比々多小学校
school  |  市立毛利台小学校
school  |  横浜市立永田小学校
school  |  市立江陽中学校
school  |  横浜市立池上小学校
school  |  横浜市立汲沢中学校
school  |  横浜市立泉が丘中学校
school  |  市立泉中学校
school  |  市立津久井中央小学校
school  |  市立津久井小学校
school  |  市立浅田小学校
school  |  横浜市立浅間台小学校
school  |  市立浜岳中学校
school  |  市立深沢小学校
school  |  横浜市立深谷中学校
school  |  横浜市立深谷小学校
school  |  横浜市立深谷台小学校
school  |  市立淵野辺小学校
school  |  市立淵野辺東小学校
school  |  市立清新小学校
school  |  市立清水小学校
school  |  市立渋沢中学校
school  |  市立渋沢小学校
school  |  大和市立渋谷中学校
school  |  市立渋谷小学校
school  |  川崎市立渡田中学校
school  |  横浜市立港北小学校
school  |  市立港小学校
school  |  横浜市立瀬戸ヶ谷小学校
school  |  横浜市立瀬谷第二小学校
school  |  市立片浦中学校
school  |  市立片浦小学校
school  |  市立犬蔵中学校
school  |  市立犬蔵小学校
school  |  市立獅子ヶ谷小学校
school  |  市立玉川中学校
school  |  市立玉川小学校
school  |  市立玉縄中学校
school  |  市立玉縄小学校
school  |  市立王禅寺中央中学校
school  |  市立王禅寺中央小学校
school  |  市立生田中学校
school  |  市立生田小学校
school  |  横浜市立生麦中学校
school  |  横浜市立生麦小学校
school  |  横浜市立田奈小学校
school  |  市立田島中学校
school  |  川崎市立田島小学校
school  |  市立由野台中学校
school  |  市立町田小学校
school  |  市立登戸小学校
school  |  市立白山中学校
university  |  日本映画大学
school  |  横浜市立白幡小学校
school  |  横浜市立白根小学校
school  |  市立白鴎中学校
school  |  市立百合丘小学校
school  |  市立相原中学校
school  |  市立相原小学校
school  |  市立相川小学校
school  |  市立相模小学校
school  |  市立相武台小学校
school  |  市立真土小学校
school  |  市立睦合中学校
school  |  市立睦合東中学校
school  |  市立矢作小学校
school  |  市立矢向中学校
school  |  横浜市立矢向小学校
school  |  市立石田小学校
school  |  横浜市立神大寺小学校
school  |  横浜市立神奈川小学校
school  |  市立神明中学校
school  |  Jinmei Elementary School
school  |  市立神田中学校
school  |  市立神田小学校
school  |  市立福沢小学校
school  |  市立福田小学校
school  |  横浜市立秋葉小学校
school  |  市立稗原小学校
school  |  市立竹園小学校
school  |  横浜市立竹山小学校
school  |  市立第二中学校
school  |  市立第二小学校
school  |  横浜市立笹山小学校
school  |  横浜市立笹野台小学校
school  |  横浜市立篠原中学校
school  |  横浜市立綱島東小学校
school  |  市立綾北小学校
school  |  市立綾南小学校
school  |  市立綾瀬中学校
school  |  市立綾瀬小学校
school  |  横浜市立緑が丘中学校
school  |  市立緑が丘中学校
school  |  市立緑ヶ丘小学校
school  |  市立緑台小学校
school  |  市立緑台小学校
school  |  横浜市立緑園東小学校
school  |  横浜市立美しが丘中学校
school  |  横浜市立美しが丘小学校
school  |  市立美しが丘東小学校
school  |  横浜市立羽沢小学校
school  |  市立腰越中学校
school  |  市立腰越小学校
school  |  市立芦子小学校
school  |  市立花水小学校
school  |  市立苅宿小学校
school  |  市立若松小学校
school  |  市立若草小学校
school  |  横浜市立若葉台小学校
school  |  横浜市立茅ヶ崎台小学校
school  |  市立茅ヶ崎小学校
school  |  市立草柳小学校
school  |  市立荏子田小学校
school  |  横浜市立荏田小学校
school  |  横浜市立荏田東第一小学校
school  |  市立荻野小学校
school  |  市立菅生中学校
school  |  市立菅生小学校
school  |  横浜市立菅田中学校
school  |  横浜市立菊名小学校
school  |  市立萩園中学校
school  |  市立落合小学校
school  |  横浜市立藤が丘小学校
school  |  市立藤ヶ岡中学校
school  |  川崎市立虹ヶ丘小学校
school  |  市立西中学校
school  |  市立西中学校
school  |  市立西丸子小学校
school  |  市立西小学校
school  |  市立西梶ヶ谷小学校
school  |  市立西生田中学校
school  |  市立西生田小学校
school  |  市立西菅小学校
school  |  市立西鎌倉小学校
school  |  市立西高津中学校
school  |  市立西鶴間小学校
school  |  市立谷口中学校
school  |  市立谷口台小学校
school  |  市立豊岡小学校
school  |  市立豊川小学校
school  |  市立豊田小学校
school  |  市立足柄台中学校
school  |  市立足柄小学校
school  |  横浜市立軽井沢中学校
school  |  横浜市立都岡中学校
school  |  市立酒匂中学校
school  |  市立酒匂小学校
school  |  旧横浜市立野庭小学校
school  |  Nobi Elementary School
school  |  市立金旭中学校
school  |  市立金田小学校
school  |  市立金目中学校
school  |  市立金目小学校
school  |  川崎市立金程中学校
school  |  川崎市立金程小学校
school  |  市立長尾小学校
school  |  市立長沢中学校
school  |  市立長沢中学校
school  |  市立長沢小学校
school  |  市立長津田小学校
school  |  市立長津田第二小学校
school  |  市立関谷小学校
school  |  横浜市立阿久和小学校
school  |  市立陽光台小学校
school  |  横浜市立霧が丘中学校
school  |  横浜市立霧が丘小学校
school  |  市立青根中学校
school  |  市立青根小学校
school  |  市立青葉小学校
school  |  市立青野原中学校
school  |  市立青野原小学校
school  |  市立飯山小学校
school  |  横浜市立飯島中学校
school  |  横浜市立飯島小学校
school  |  横浜市立飯田北小学校
school  |  市立馬場小学校
school  |  横浜市立駒岡小学校
school  |  横浜市立駒林小学校
school  |  市立高坂小学校
school  |  市立高部屋小学校
school  |  市立鳥屋中学校
school  |  市立鳥屋小学校
school  |  市立鴨宮中学校
school  |  横浜市立鴨居中学校
school  |  横浜市立鴨志田中学校
school  |  横浜市立鴨志田第一小学校
school  |  横浜市立鴨志田緑小学校
school  |  市立鵜野森中学校
school  |  市立鶴の台小学校
school  |  横浜市立鶴ヶ峯中学校
school  |  市立鶴園小学校
school  |  市立鶴嶺中学校
school  |  市立鶴巻中学校
school  |  市立鶴巻小学校
school  |  横浜市立鶴見中学校
school  |  横浜市立鶴見小学校
school  |  市立鷺沼小学校
school  |  市立麻溝台中学校
school  |  市立麻溝小学校
hospital  |  帝京大学医学部附属溝口病院
university  |  帝京大学（薬学部）
hospital  |  帰陽会丹羽病院
kindergarten  |  平作保育園
kindergarten  |  平保育園
kindergarten  |  平和台幼児園
kindergarten  |  平和学園幼稚園
kindergarten  |  平和幼稚園
hospital  |  平和病院
school  |  平塚ろう学校
kindergarten  |  平塚二葉幼稚園
kindergarten  |  平塚保育園
post_office  |  平塚八千代郵便局
post_office  |  平塚八幡郵便局
post_office  |  平塚吉沢郵便局
post_office  |  平塚四之宮郵便局
post_office  |  平塚富士見郵便局
post_office  |  平塚山下郵便局
post_office  |  平塚岡崎郵便局
kindergarten  |  平塚市しらさぎ保育園
library  |  平塚市中央図書館
library  |  平塚市北図書館
kindergarten  |  平塚市南原保育園
library  |  平塚市南図書館
kindergarten  |  平塚市吉沢保育園
kindergarten  |  平塚市夕陽ケ丘保育園
kindergarten  |  平塚市大神保育園
hospital  |  平塚市民病院
fire_station  |  平塚市消防本部
fire_station  |  平塚市消防署南原出張所
fire_station  |  平塚市消防署旭出張所
fire_station  |  平塚市消防署旭出張所土沢分遣所
fire_station  |  平塚市消防署海岸出張所
fire_station  |  平塚市消防署神田出張所
fire_station  |  平塚市消防署金目出張所
kindergarten  |  平塚市神田保育園
kindergarten  |  平塚市花水台保育園
kindergarten  |  平塚市若草保育園
library  |  平塚市西図書館
kindergarten  |  平塚市金田保育園
kindergarten  |  平塚市須賀保育園
post_office  |  平塚幸町郵便局
post_office  |  平塚御殿郵便局
post_office  |  平塚徳延郵便局
post_office  |  平塚旭郵便局
post_office  |  平塚本宿郵便局
post_office  |  平塚東中原郵便局
post_office  |  平塚横内郵便局
post_office  |  平塚田村郵便局
school  |  平塚盲学校
public_building  |  平塚社会保険事務所
post_office  |  平塚菫平郵便局
police  |  平塚警察署
police  |  平塚警察署中原交番
police  |  平塚警察署代官町交番
police  |  平塚警察署八幡交番
police  |  平塚警察署南原駐在所
police  |  平塚警察署四之宮交番
police  |  平塚警察署土沢駐在所
police  |  平塚警察署城島駐在所
police  |  平塚警察署岡崎駐在所
police  |  平塚警察署旭交番
police  |  平塚警察署根坂間交番
police  |  平塚警察署横内駐在所
police  |  平塚警察署真土駐在所
police  |  平塚警察署神田駐在所
police  |  平塚警察署花水台交番
police  |  平塚警察署西仲町交番
police  |  平塚警察署豊田駐在所
police  |  平塚警察署追分交番
police  |  平塚警察署金田駐在所
police  |  平塚警察署金目交番
police  |  平塚警察署須賀交番
post_office  |  平塚豊田郵便局
post_office  |  平塚郵便局
school  |  平塚養護学校(肢体不自由)(知的障害)
post_office  |  平塚駅前郵便局
kindergarten  |  平岡幼稚園
kindergarten  |  平戸幼稚園
hospital  |  ふれあいクリニック
kindergarten  |  平間乳児保育園
kindergarten  |  平間保育園
kindergarten  |  平間幼稚園
kindergarten  |  幸ケ谷幼稚園
townhall  |  幸区役所
police  |  幸警察署下平間交番
police  |  幸警察署北加瀬交番
police  |  幸警察署 南加瀬交番
police  |  幸警察署古市場交番
police  |  幸警察署塚越交番
police  |  幸警察署川崎駅西口交番
police  |  幸警察署幸町交番
police  |  幸警察署日吉交番
police  |  幸警察署河原町交番
police  |  幸警察署鹿島田駅前交番
hospital  |  広瀬病院
kindergarten  |  広田幼稚園
kindergarten  |  広野台保育園
post_office  |  座間ひばりが丘郵便局
post_office  |  座間中宿郵便局
kindergarten  |  座間保育園
kindergarten  |  座間子どもの家保育園
kindergarten  |  座間孝道幼稚園
townhall  |  座間市役所
fire_station  |  座間市消防本部
fire_station  |  座間市消防署東分署
kindergarten  |  座間市立ちぐさ保育園
kindergarten  |  座間市立ひばりが丘保育園
library  |  座間市立図書館
kindergarten  |  座間市立小松原保育園
kindergarten  |  座間市立東原保育園
kindergarten  |  座間市立栗原保育園
kindergarten  |  座間市立相模が丘東保育園
kindergarten  |  座間市立相模が丘西保育園
kindergarten  |  座間市立相武台保育園
kindergarten  |  座間市立緑ケ丘保育園
kindergarten  |  座間幼稚園
post_office  |  座間立野台郵便局
post_office  |  座間緑ヶ丘郵便局
police  |  座間警察署
police  |  座間警察署ひばりが丘交番
police  |  座間警察署座間駅前交番
police  |  座間警察署栗原交番
police  |  座間警察署相模が丘交番
post_box  |  座間郵便局
school  |  座間養護学校(肢体不自由)(知的障害)
post_office  |  座間駅前郵便局
hospital  |  康心会湘南さくら病院
hospital  |  康心会湘南東部総合病院
hospital  |  康心会茅ヶ崎中央病院
doctors  |  康心会茅ヶ崎新北陵病院
post_office  |  弥生台駅前郵便局
kindergarten  |  弥生幼稚園
kindergarten  |  御国幼稚園
kindergarten  |  御所見愛児園
post_office  |  御所見郵便局
kindergarten  |  御霊神社保育園
hospital  |  徳寿会相模原中央病院
hospital  |  徳洲会大和徳洲会病院
hospital  |  徳洲会茅ヶ崎徳洲会総合病院
hospital  |  徳田病院
hospital  |  恵仁会松島病院
kindergarten  |  恵泉幼稚園
hospital  |  恵生会上白根病院
hospital  |  恵生会竹山病院
kindergarten  |  恵聖幼稚園
hospital  |  悠心会森田病院
university  |  情報セキュリティ大学院大学
public_building  |  情報通信研究機構新世代ワイヤレス研究センター(横須賀支所)
hospital  |  愛光病院
hospital  |  愛友会金沢文庫病院
kindergarten  |  愛和のぞみ幼稚園
kindergarten  |  愛和幼稚園
kindergarten  |  愛川幼稚園
post_office  |  愛川田代郵便局
library  |  愛川町図書館
townhall  |  愛川町役場
fire_station  |  愛川町消防本部
fire_station  |  愛川町消防署半原分署
kindergarten  |  愛川町立中津保育園
kindergarten  |  愛川町立中津南保育園
kindergarten  |  愛川町立半原保育園
kindergarten  |  愛川町立春日台保育園
kindergarten  |  愛川町立田代保育園
kindergarten  |  愛川町立高峰保育園
post_office  |  愛川郵便局
hospital  |  愛心会湘南鎌倉総合病院
hospital  |  愛慈会相和病院
hospital  |  愛成会京浜総合病院
hospital  |  愛生会三ツ境病院
hospital  |  愛生会有馬病院
hospital  |  愛育会愛育病院
hospital  |  慈啓会大口東総合病院
hospital  |  横浜はじめ病院
hospital  |  慈広会矢崎胃腸科外科病院
hospital  |  慈恵療育会相模原療育園
hospital  |  慶友会第一病院
hospital  |  慶友病院
university  |  慶應義塾大学（環境情報学部）
university  |  慶應義塾大学（看護医療学部）
university  |  慶應義塾大学（総合政策学部）
hospital  |  慶神会武田病院
hospital  |  成仁会長田病院
kindergarten  |  成瀬幼稚園
kindergarten  |  戸塚すみれ幼稚園
kindergarten  |  戸塚ふたば幼稚園
townhall  |  戸塚区役所
hospital  |  戸塚山谷病院
police  |  戸塚警察署上矢部交番
police  |  戸塚警察署下倉田交番
police  |  戸塚警察署不動坂交番
police  |  戸塚警察署原宿交番
police  |  戸塚警察署平戸交番
police  |  戸塚駅西口交番
police  |  戸塚警察署東戸塚駅前交番
police  |  戸塚警察署柏尾交番
police  |  戸塚警察署深谷交番
police  |  戸塚警察署舞岡交番
police  |  戸塚警察署踊場交番
kindergarten  |  戸手保育園
kindergarten  |  戸部幼稚園
police  |  戸部警察署
police  |  戸部警察署みなとみらい交番
police  |  戸部警察署一本松交番
police  |  戸部警察署伊勢町交番
police  |  戸部警察署北幸連絡所
police  |  戸部警察署南浅間町交番
police  |  戸部警察署岡野交番
police  |  戸部警察署 平沼町連絡所
police  |  戸部警察署東台交番
police  |  戸部警察署横浜駅東口交番
police  |  戸部警察署横浜駅相鉄口交番
police  |  戸部警察署浜松町交番
police  |  戸部警察署藤棚町交番
police  |  戸部警察署野毛山公園交番
police  |  戸部警察署高島交番
public_building  |  技術研究本部陸上装備研究所
post_office  |  押切郵便局
kindergarten  |  捜真幼稚園
public_building  |  放送大学学園放送大学神奈川学習センター
hospital  |  敬生会十慈堂病院
kindergarten  |  文庫幼稚園
college  |  文教大学女子短期大学部
university  |  文教大学（国際学部）
university  |  文教大学（情報学部）
public_building  |  新エネルギー・産業技術総合開発機構
kindergarten  |  新作やはた幼稚園
kindergarten  |  新城幼稚園
post_office  |  新大津駅前郵便局
kindergarten  |  新大船幼稚園
kindergarten  |  新日本保育園
post_office  |  新横浜三郵便局
hospital  |  新横浜母と子の病院
post_office  |  新横浜駅前郵便局
kindergarten  |  新治保育園
school  |  新治養護学校(肢体不自由)
kindergarten  |  新玉幼稚園
post_office  |  新田郵便局
kindergarten  |  新町保育園
kindergarten  |  新町幼稚園
kindergarten  |  新磯野保育園
kindergarten  |  新羽幼稚園
hospital  |  新都市医療研究会君津会 南大和病院
kindergarten  |  日の出保育園
kindergarten  |  日吉さくら幼稚園
kindergarten  |  日吉保育園
kindergarten  |  日吉台光幼稚園
kindergarten  |  日吉幼稚園
hospital  |  日吉病院
post_office  |  日吉駅内郵便局
university  |  日本医科大学（医学部）
restaurant  |  食堂
university  |  日本大学（生物資源科学部）
university  |  日本女子大学（人間社会学部）
public_building  |  日本学生支援機構
public_building  |  日本小型船舶検査機構横浜支部
public_building  |  日本貿易振興機構横浜貿易情報センター
public_building  |  日本郵政公社南関東支社
public_building  |  日本郵政公社逓信病院横浜逓信病院
public_building  |  日本郵政公社郵政健康管理センター横浜郵政健康管理センター
public_building  |  日本銀行横浜支店
kindergarten  |  日枝幼児園
post_office  |  日連郵便局
kindergarten  |  日進幼稚園
kindergarten  |  日進町保育園
kindergarten  |  日野幼稚園
kindergarten  |  旭保育園
police  |  旭警察署
police  |  旭警察署ひかりが丘交番
police  |  旭警察署万騎が原交番
police  |  旭警察署上川井交番
police  |  旭警察署二俣川ニュータウン駐在所
police  |  旭警察署二俣川交番
police  |  旭警察署今宿交番
police  |  旭警察署南希望が丘交番
police  |  旭警察署 左近山交番
police  |  旭警察署市沢交番
police  |  旭警察署希望が丘交番
police  |  旭警察署白根交番
police  |  旭警察署笹野台交番
police  |  旭警察署都岡駐在所
police  |  旭警察署若葉台交番
police  |  旭警察署鶴ヶ峰交番
hospital  |  昌栄会 相武台病院
hospital  |  明和会亀田病院
kindergarten  |  明徳乳児保育所
hospital  |  明徳会清水ヶ丘病院
hospital  |  明徳会総合新川橋病院
kindergarten  |  明徳釜利谷保育園
kindergarten  |  明成幼稚園
kindergarten  |  明照幼稚園
hospital  |  明理会相原病院
kindergarten  |  明石町保育園
kindergarten  |  明神台保育園
hospital  |  明芳会北小田原病院
hospital  |  明芳会新戸塚病院
hospital  |  明芳会横浜新都市脳神経外科病院
hospital  |  明芳会横浜旭中央総合病院
kindergarten  |  星が丘幼稚園
kindergarten  |  星の子保育園
kindergarten  |  星の子愛児園
kindergarten  |  星ケ丘二葉園
kindergarten  |  星川ルーナ保育園
kindergarten  |  春光保育園
kindergarten  |  春日台幼稚園
post_office  |  春日台簡易郵便局
kindergarten  |  春日幼稚園
kindergarten  |  春日野幼稚園
hospital  |  春雷会恵風園胃腸病院
hospital  |  昭和大学藤が丘病院
university  |  昭和音楽大学（音楽学部）
hospital  |  医療法人社団晃進会　たま日吉台病院
hospital  |  景翠会金沢病院
post_office  |  曾我郵便局
kindergarten  |  月京幼稚園
kindergarten  |  月影幼稚園
kindergarten  |  有馬保育園
hospital  |  有馬病院
kindergarten  |  有馬白百合幼稚園
kindergarten  |  有鹿幼稚園
hospital  |  朋友会けやきの森病院
hospital  |  望星会鶴見西口病院
kindergarten  |  木之花保育園
kindergarten  |  木月カリヨン幼稚園
kindergarten  |  木月保育園
kindergarten  |  末長保育園
kindergarten  |  本宿幼稚園
kindergarten  |  本牧めぐみ幼稚園
kindergarten  |  本町幼稚園
school  |  横浜市立本郷養護学校(知的障害)
post_office  |  杉久保郵便局
kindergarten  |  杉山神社保育園
kindergarten  |  杉山神社幼稚園
kindergarten  |  杉田幼児園
hospital  |  杏林会八木病院
hospital  |  杏林堂林病院
kindergarten  |  材木座幼稚園
kindergarten  |  村岡保育園
school  |  村立宮ヶ瀬中学校
school  |  村立宮ヶ瀬小学校
school  |  村立緑中学校
school  |  村立緑小学校
kindergarten  |  東三輪幼稚園
kindergarten  |  東中原幼稚園
kindergarten  |  東中野島保育園
public_building  |  東京入国管理局横浜支局
public_building  |  東京国税不服審判所横浜支所
public_building  |  東京国税局保土ヶ谷税務署
townhall  |  東京国税局 厚木税務署
public_building  |  東京国税局小田原税務署
public_building  |  東京国税局川崎北税務署
public_building  |  東京国税局川崎南税務署
public_building  |  東京国税局平塚税務署
public_building  |  東京国税局戸塚税務署
public_building  |  東京国税局横浜中税務署
public_building  |  東京国税局横浜南税務署
public_building  |  東京国税局横須賀税務署
public_building  |  東京国税局神奈川税務署
public_building  |  東京国税局藤沢税務署
public_building  |  東京国税局鎌倉税務署
public_building  |  東京国税局鶴見税務署
public_building  |  東京国立近代美術館フィルムセンター相模原分館
university  |  東京工業大学（生命理工学部）
university  |  東京工芸大学（工学部）
university  |  東京工芸大学（芸術学部）
public_building  |  東京管区気象台横浜地方気象台
public_building  |  東京航空局大和航空路監視レーダー事務所
kindergarten  |  東住吉幼稚園
kindergarten  |  東俣野幼稚園
school  |  横浜市立東俣野養護学校(肢体不自由)
kindergarten  |  東原幼稚園
kindergarten  |  東寺尾幼稚園
kindergarten  |  東小倉保育園
kindergarten  |  東小田保育園
kindergarten  |  東幼稚園
kindergarten  |  東幼稚園
hospital  |  東戸塚記念病院
post_office  |  東戸塚駅東口郵便局
post_office  |  東戸塚駅西口郵便局
hospital  |  東日本循環器病院
kindergarten  |  東樹院幼稚園
kindergarten  |  東橋本ひまわり保育園
kindergarten  |  東洋英和女学院大学付属かえで幼稚園
university  |  東洋英和女学院大学（人間科学部）
university  |  東洋英和女学院大学（国際社会学部）
kindergarten  |  東海大学付属本田記念幼稚園
hospital  |  東海大学医学部付属大磯病院
hospital  |  東海大学医学部付属病院
college  |  東海大学医療技術短期大学
post_office  |  東海大学病院内簡易郵便局
university  |  東海大学（健康科学部）
university  |  東海大学（医学部）
post_office  |  東神奈川駅前郵便局
post_office  |  東秦野郵便局
hospital  |  東芝林間病院
hospital  |  東芝鶴見病院
kindergarten  |  東菅幼稚園
hospital  |  東華会相模湖病院
post_office  |  東逗子郵便局
kindergarten  |  東門前保育園
kindergarten  |  松が丘保育園
kindergarten  |  松が枝保育園
